       support                                           itemsets  length
5923  0.003364            (D, True, E75L, SkyWest Airlines, KSAN)       5
5950  0.003364              (E, Delta Air Lines, Wed, True, KMSP)       5
5714  0.003364           (A321, E, KPHX, American Airlines, True)       5
5747  0.003364            (Fri, E, American Airlines, True, B738)       5
5842  0.003364             (B739, E, KORD, True, United Airlines)       5
5724  0.003364                     (E, Avianca, True, A332, KMIA)       5
5924  0.003364                (D, Mon, True, E75L, Mesa Airlines)       5
5927  0.003364                (Thu, D, True, E75L, Mesa Airlines)       5
5773  0.003364            (Thu, E, American Airlines, True, KMIA)       5
5963  0.003364              (E, KEWR, True, Sat, United Airlines)       5
5752  0.003364            (E, American Airlines, Mon, True, B738)       5
5875  0.003364            (D, CRJ2, True, KSFO, SkyWest Airlines)       5
5967  0.003622           (E, KLAS, True, Southwest Airlines, Sat)       5
5901  0.003622                   (D, KORD, E170, True, Envoy Air)       5
5790  0.003622         (E, KBWI, False, Southwest Airlines, B737)       5
5716  0.003622            (Sun, A321, E, American Airlines, True)       5
5949  0.003622              (Thu, E, Delta Air Lines, True, KMSP)       5
5964  0.003622              (Sun, E, KEWR, True, United Airlines)       5
5863  0.003622                 (Horizon Air, True, KSEA, DH8D, C)       5
5737  0.003622           (E, American Airlines, B38M, True, KMIA)       5
5910  0.003622                 (D, Horizon Air, True, E75L, KSEA)       5
5897  0.003622                   (D, True, Envoy Air, KLGA, E135)       5
5745  0.003622            (Sun, D, American Airlines, True, B738)       5
5686  0.003622             (E, JetBlue Airways, KBOS, True, A320)       5
5746  0.003622            (Thu, D, American Airlines, True, B738)       5
5753  0.003622            (E, American Airlines, True, Sat, B738)       5
5740  0.003881           (D, American Airlines, KDFW, True, B738)       5
5696  0.003881              (Thu, E, JetBlue Airways, True, A320)       5
5757  0.003881            (E, Wed, American Airlines, True, B738)       5
5807  0.003881           (E, KPHX, Southwest Airlines, Sat, B737)       5
5855  0.003881                (PSA Airlines, KDCA, CRJ2, True, C)       5
5953  0.003881            (KFLL, E, E190, JetBlue Airways, False)       5
5896  0.003881                   (D, KDFW, True, Envoy Air, E135)       5
5684  0.003881              (E, JetBlue Airways, True, A320, Fri)       5
5874  0.003881            (D, KDEN, CRJ2, True, SkyWest Airlines)       5
5968  0.004140           (E, KMDW, True, Southwest Airlines, Sat)       5
5822  0.004140          (E, False, Southwest Airlines, Sat, B738)       5
5911  0.004140            (D, KDEN, True, E75L, SkyWest Airlines)       5
5795  0.004140                         (E, KBWI, True, Sat, B737)       5
5744  0.004140            (D, American Airlines, True, Sat, B738)       5
5676  0.004140             (KEWR, True, A320, C, United Airlines)       5
5816  0.004140        (KMDW, True, Southwest Airlines, Sat, B737)       5
5749  0.004140           (E, American Airlines, True, KMCO, B738)       5
5903  0.004140             (D, E190, JetBlue Airways, KBWI, True)       5
5734  0.004398       (E, True, KSEA, Alaska Airlines, Inc., B737)       5
5699  0.004398             (E, True, A320, KIAH, United Airlines)       5
5682  0.004398            (KFLL, E, JetBlue Airways, False, A320)       5
5695  0.004398              (Sun, E, JetBlue Airways, True, A320)       5
5898  0.004398                   (D, KORD, E145, True, Envoy Air)       5
5711  0.004398            (A321, E, American Airlines, True, Fri)       5
5751  0.004657           (E, KORD, American Airlines, True, B738)       5
5962  0.004657           (E, KBWI, True, Southwest Airlines, Sat)       5
5796  0.004657          (E, KBWI, True, Southwest Airlines, B737)       5
5810  0.004657       (KBWI, False, Southwest Airlines, Sat, B737)       5
5750  0.004657           (E, American Airlines, True, B738, KMIA)       5
5717  0.004657            (Thu, A321, E, American Airlines, True)       5
5666  0.004657             (D, KBWI, True, A319, Spirit Airlines)       5
5748  0.004916           (E, American Airlines, KDFW, True, B738)       5
5891  0.004916                      (E, unkown, True, KJFK, CRJ9)       5
5812  0.005175        (KBWI, True, Southwest Airlines, Sat, B737)       5
5741  0.005175           (D, American Airlines, True, B738, KMIA)       5
5762  0.005433           (E, American Airlines, B763, True, KMIA)       5
5673  0.005433       (D, True, A320, KSFO, Alaska Airlines, Inc.)       5
5723  0.005433           (E, American Airlines, True, A332, KPHL)       5
5742  0.005692           (D, KORD, American Airlines, True, B738)       5
5726  0.005692           (A333, E, American Airlines, True, KPHL)       5
5951  0.005692           (E, E145, True, Piedmont Airlines, KPHL)       5
5850  0.005951             (E, B772, KEWR, True, United Airlines)       5
5712  0.005951           (A321, E, American Airlines, True, KCLT)       5
5881  0.006468            (D, KORD, True, SkyWest Airlines, CRJ7)       5
5825  0.006727             (E, KEWR, True, B738, United Airlines)       5
5873  0.006727                (D, PSA Airlines, KDCA, CRJ2, True)       5
5794  0.007245           (E, KBWI, Southwest Airlines, Sat, B737)       5
5689  0.007503             (KFLL, E, JetBlue Airways, True, A320)       5
5839  0.008538             (B739, E, Delta Air Lines, True, KMSP)       5
5784  0.009832          (D, False, Southwest Airlines, Sat, B737)       5
5862  0.010091                 (Horizon Air, True, KPDX, DH8D, C)       5
5831  0.010608           (E, True, Southwest Airlines, Sat, B738)       5
5788  0.011125           (D, True, Southwest Airlines, Sat, B737)       5
5793  0.013713          (E, False, Southwest Airlines, Sat, B737)       5
5918  0.017076               (D, True, E75L, Mesa Airlines, KIAH)       5
5809  0.025097           (E, True, Southwest Airlines, Sat, B737)       5
