       support                                           itemsets  length
5854  0.003364          (A321, E, KORD, American Airlines, False)       5
5814  0.003364             (D, Sun, False, A320, Spirit Airlines)       5
6030  0.003364           (D, KORD, False, SkyWest Airlines, CRJ7)       5
5965  0.003364             (E, Mon, False, B738, United Airlines)       5
5851  0.003364          (A321, E, American Airlines, False, KCLT)       5
5959  0.003364             (Fri, E, False, B738, United Airlines)       5
5844  0.003364             (Thu, E, False, A320, Spirit Airlines)       5
5838  0.003364            (KFLL, E, False, A320, Spirit Airlines)       5
6076  0.003622               (D, False, E75L, Sat, Mesa Airlines)       5
5883  0.003622           (Fri, D, American Airlines, False, B738)       5
5832  0.003622             (E, JetBlue Airways, False, A320, Sat)       5
5968  0.003622             (E, False, Sat, B738, United Airlines)       5
5945  0.003622       (KLAS, False, Southwest Airlines, Sat, B737)       5
5971  0.003622            (B739, D, KBOS, False, United Airlines)       5
5977  0.003622             (B739, E, Delta Air Lines, False, Sat)       5
5969  0.003622             (Sun, E, False, B738, United Airlines)       5
6042  0.003622          (E, E145, CYOW, False, Piedmont Airlines)       5
5990  0.003622            (E, Delta Air Lines, B763, False, EHAM)       5
5947  0.003622       (KMDW, False, Southwest Airlines, Sat, B737)       5
5830  0.003881             (E, JetBlue Airways, Mon, False, A320)       5
5856  0.003881           (A321, E, American Airlines, False, Sat)       5
5855  0.003881           (A321, E, American Airlines, Mon, False)       5
5894  0.003881           (B738, E, American Airlines, False, Fri)       5
6068  0.003881          (D, KPIT, False, E75L, Republic Airlines)       5
5954  0.003881            (E, Delta Air Lines, False, KSEA, B738)       5
5931  0.003881            (E, KORD, False, B737, United Airlines)       5
5901  0.003881           (E, American Airlines, False, Sat, B738)       5
5898  0.003881          (E, American Airlines, False, KPHL, B738)       5
5916  0.003881            (D, Delta Air Lines, False, KJFK, B712)       5
6028  0.003881           (D, KDTW, False, SkyWest Airlines, CRJ7)       5
6064  0.004140              (D, False, E75L, Mesa Airlines, KCLT)       5
5953  0.004140            (E, Delta Air Lines, False, KSAN, B738)       5
5799  0.004140            (E, Delta Air Lines, False, KJFK, A319)       5
5972  0.004140             (B739, E, Delta Air Lines, False, Fri)       5
5835  0.004140             (E, Wed, JetBlue Airways, False, A320)       5
6060  0.004140            (D, E190, JetBlue Airways, KBOS, False)       5
5904  0.004398           (E, Wed, American Airlines, False, B738)       5
5891  0.004398           (D, Sun, American Airlines, False, B738)       5
5886  0.004398          (D, American Airlines, False, B738, KMIA)       5
5857  0.004398           (Sun, A321, E, American Airlines, False)       5
5900  0.004398           (E, American Airlines, Mon, False, B738)       5
5858  0.004398           (Thu, A321, E, American Airlines, False)       5
5821  0.004398             (E, JetBlue Airways, False, A320, Fri)       5
5976  0.004398            (B739, E, KPHX, Delta Air Lines, False)       5
5973  0.004657            (B739, E, Delta Air Lines, KDTW, False)       5
5850  0.004657           (A321, E, American Airlines, False, Fri)       5
5984  0.004916            (B744, E, EGLL, False, British Airways)       5
5890  0.004916           (D, American Airlines, False, Sat, B738)       5
5834  0.005175             (Thu, E, JetBlue Airways, False, A320)       5
5803  0.005175      (KLAX, D, False, A320, Alaska Airlines, Inc.)       5
5833  0.005175             (Sun, E, JetBlue Airways, False, A320)       5
5897  0.005175          (E, KORD, American Airlines, False, B738)       5
5798  0.005692            (D, KATL, False, A319, Spirit Airlines)       5
5861  0.005692            (A321, E, KATL, Delta Air Lines, False)       5
5825  0.005951            (E, JetBlue Airways, False, KJFK, A320)       5
5967  0.013972          (E, False, Southwest Airlines, Sat, B738)       5
5921  0.019664          (D, False, Southwest Airlines, Sat, B737)       5
5936  0.036999          (E, False, Southwest Airlines, Sat, B737)       5
