,aircrafttype,filed_airspeed_kts,filed_altitude,origin,destination,filed_departuretime_hr,estimatedarrivaltime_hr,airline,dep_delay_min,diff_flt,aircraft_manuf,cloud_altitude,temp,dewpoint,visibility,wind_speed,gust_speed,delay
11229,3,428,350,10,48,19,21,11,49.96666666666667,2.3999999999999986,2,5500.0,18.0,18.0,10.0,4.0,0.0,0
11242,8,462,330,10,55,19,21,10,9.25,2.6666666666666714,0,3500.0,16.0,16.0,9.0,7.0,0.0,0
11243,8,464,330,10,55,19,21,10,25.23333333333333,-2.566666666666663,0,6000.0,17.0,17.0,10.0,5.0,0.0,0
11255,1,447,290,10,6,19,21,10,8.683333333333334,0.1666666666666572,1,3500.0,16.0,16.0,9.0,7.0,0.0,0
11256,1,426,350,10,6,19,21,10,11.833333333333336,9.949999999999989,1,6000.0,17.0,17.0,10.0,5.0,0.0,0
11268,10,454,330,10,26,19,20,13,4.666666666666667,-23.666666666666664,2,3500.0,16.0,16.0,9.0,7.0,0.0,0
11269,10,450,350,10,26,19,20,13,9.766666666666667,4.233333333333333,2,6000.0,17.0,17.0,10.0,5.0,0.0,0
11288,17,344,140,10,64,19,20,11,18.08333333333333,6.416666666666664,5,3500.0,16.0,16.0,9.0,7.0,0.0,0
11289,17,344,140,10,64,19,19,11,12.0,-9.0,5,6000.0,17.0,17.0,10.0,5.0,0.0,0
11301,1,453,370,10,17,18,21,2,25.0,-123.0,1,6000.0,17.0,17.0,10.0,5.0,0.0,0
11327,1,460,350,14,54,19,21,6,3.333333333333333,-2.6500000000000057,1,35000.0,33.0,33.0,10.0,5.0,0.0,0
11333,0,421,250,14,14,19,20,0,-6.85,-7.966666666666669,0,4200.0,32.0,32.0,10.0,6.0,0.0,0
11334,0,385,240,3,13,17,18,0,1.0666666666666669,-5.06666666666667,0,3300.0,31.0,31.0,10.0,11.0,18.0,0
11335,0,412,250,14,14,19,20,0,-3.1,-14.716666666666667,0,35000.0,33.0,33.0,10.0,5.0,0.0,0
11336,0,391,240,3,13,17,18,0,11.133333333333333,-3.1333333333333333,0,3500.0,31.0,31.0,10.0,13.0,21.0,0
11344,16,449,350,14,0,19,22,1,6.0,-138.0,0,4200.0,32.0,32.0,10.0,6.0,0.0,0
11345,16,455,330,14,0,19,22,1,1.9166666666666667,-132.0,0,35000.0,33.0,33.0,10.0,5.0,0.0,0
11356,2,491,270,14,8,17,19,0,15.1,-11.033333333333333,1,27000.0,34.0,34.0,10.0,8.0,0.0,0
11357,2,446,300,2,13,14,16,0,33.016666666666666,4.983333333333333,1,25000.0,28.0,28.0,10.0,3.0,0.0,0
11358,1,480,310,14,8,17,18,0,2.0,-21.83333333333333,1,32000.0,36.0,36.0,10.0,8.0,0.0,0
11359,1,477,320,2,13,14,16,0,15.0,-7.816666666666663,1,6000.0,27.0,27.0,10.0,6.0,0.0,0
11373,11,460,228,14,70,13,19,23,72.28333333333333,-1.0500000000000114,0,25000.0,34.0,34.0,10.0,5.0,0.0,0
11374,11,466,340,14,70,13,19,23,62.53333333333333,0.5666666666666629,0,4500.0,35.0,35.0,10.0,9.0,15.0,0
11387,1,460,330,14,0,18,21,4,-3.783333333333333,-9.98333333333332,1,4200.0,33.0,33.0,10.0,7.0,0.0,0
11388,1,460,350,14,0,18,21,4,21.116666666666667,-4.633333333333326,1,35000.0,33.0,33.0,10.0,5.0,0.0,0
11402,7,469,350,14,15,19,21,2,-6.25,-12.900000000000004,0,4200.0,32.0,32.0,10.0,6.0,0.0,0
11404,7,436,290,26,2,22,23,2,7.833333333333332,1.1666666666666714,0,99999.0,18.0,18.0,10.0,3.0,0.0,0
11405,7,476,330,14,15,19,21,2,0.3333333333333333,-0.3333333333333286,0,35000.0,33.0,33.0,10.0,5.0,0.0,0
11410,14,467,340,14,10,19,20,1,-1.0,5.0,0,4200.0,32.0,32.0,10.0,6.0,0.0,0
11411,14,472,330,25,13,16,18,1,14.0,8.0,0,15000.0,29.0,29.0,10.0,11.0,0.0,0
11412,2,461,244,14,10,19,20,1,-0.18333333333333326,-3.5333333333333314,1,35000.0,33.0,33.0,10.0,5.0,0.0,0
11413,2,463,330,25,13,16,18,1,16.15,2.8500000000000014,1,8000.0,29.0,29.0,10.0,4.0,0.0,0
11427,4,469,330,14,27,19,21,0,1.25,-124.0,1,4200.0,32.0,32.0,10.0,6.0,0.0,0
11428,4,477,310,14,27,19,21,0,5.0,0.6666666666666714,1,35000.0,33.0,33.0,10.0,5.0,0.0,0
11439,5,415,320,7,60,20,21,5,13.0,-1.2000000000000028,3,25000.0,23.0,23.0,10.0,5.0,0.0,0
11440,5,416,280,7,60,20,20,5,1.0,-0.11666666666666715,3,4200.0,22.0,22.0,10.0,3.0,0.0,0
11451,10,469,340,7,25,22,0,8,19.916666666666668,6.066666666666663,2,4800.0,20.0,20.0,10.0,7.0,0.0,0
11463,3,423,340,7,28,19,21,8,-1.9666666666666663,-3.0333333333333314,2,25000.0,24.0,24.0,10.0,5.0,0.0,0
11464,10,423,340,7,28,19,21,8,7.633333333333334,-12.200000000000005,2,4200.0,22.0,22.0,10.0,3.0,0.0,0
11476,15,379,170,7,11,19,21,8,55.65,13.35,2,25000.0,23.0,23.0,10.0,5.0,0.0,0
11477,15,401,210,7,11,19,21,8,29.13333333333333,12.866666666666667,2,4200.0,22.0,22.0,10.0,3.0,0.0,0
11492,3,413,320,7,65,20,22,8,12.3,-6.299999999999998,2,25000.0,23.0,23.0,10.0,5.0,0.0,0
11493,3,435,340,7,65,20,22,8,0.25,-113.0,2,4200.0,22.0,22.0,10.0,3.0,0.0,0
11504,5,415,320,7,42,19,20,5,17.483333333333334,-1.36666666666666,3,25000.0,24.0,24.0,10.0,5.0,0.0,0
11505,5,418,320,7,42,19,21,5,59.0,-11.56666666666667,3,4200.0,22.0,22.0,10.0,3.0,0.0,0
