,aircrafttype,filed_airspeed_kts,filed_altitude,origin,destination,filed_departuretime_week,filed_departuretime_hr,estimatedarrivaltime_hr,airline,dep_delay_min,diff_flt,aircraft_manuf,delay
9655,34.0,495,290,2,52,0,19,8,22,-5.533333333333332,43.79999999999996,1,0
9656,34.0,496,224,2,52,3,19,9,22,51.95,22.666666666666625,1,0
9657,34.0,497,350,2,52,2,19,9,22,1.5833333333333333,44.33333333333337,1,0
9658,34.0,491,370,2,52,5,19,9,22,11.716666666666667,32.100000000000016,1,1
9659,34.0,492,370,2,52,6,19,8,22,-13.0,0.8500000000000227,1,0
9660,34.0,492,370,2,52,4,19,8,22,-1.5333333333333334,31.100000000000023,1,0
9661,34.0,490,198,2,52,1,19,8,22,-7.416666666666668,29.38333333333333,1,0
9662,34.0,491,370,2,52,0,19,7,22,-12.933333333333335,-776.0,1,0
9663,34.0,490,370,2,52,3,19,8,22,-5.3,-5.399999999999976,1,1
9664,34.0,492,370,2,52,2,19,8,22,-0.85,25.316666666666716,1,0
9665,34.0,512,0,2,52,5,19,8,22,3.0,0.0,1,0
9666,20.0,497,330,2,32,1,19,3,0,6.383333333333334,-6.383333333333327,0,0
9667,20.0,497,330,2,32,0,19,3,0,12.966666666666667,-1.5500000000000114,0,0
9668,20.0,496,330,2,32,3,19,3,0,17.683333333333334,1.0166666666666515,0,0
9669,20.0,504,310,2,32,2,19,3,0,6.916666666666668,-1.1166666666666742,0,0
9670,20.0,494,350,2,32,5,19,4,0,52.08333333333334,8.850000000000025,0,0
9671,20.0,494,350,2,32,6,19,5,0,88.65,11.93333333333328,0,0
9672,20.0,493,330,2,32,4,19,3,0,11.4,-0.2666666666666515,0,0
9673,20.0,476,370,2,32,1,19,3,0,-0.75,-0.8500000000000227,0,0
9674,20.0,485,370,2,32,0,19,3,0,19.983333333333334,2.566666666666663,0,0
9675,20.0,482,370,2,32,3,19,3,0,3.35,4.649999999999976,0,0
9676,20.0,482,370,2,32,2,19,3,0,16.15,-0.8500000000000227,0,0
9677,20.0,506,310,2,32,5,19,3,0,-3.3,6.3333333333333135,0,0
9678,11.0,468,258,2,102,1,19,23,0,14.133333333333333,3.4166666666666567,0,0
9679,11.0,455,283,2,102,0,19,23,0,11.883333333333333,5.0,0,0
9680,11.0,458,283,2,102,3,19,23,0,-0.8833333333333333,3.9333333333333367,0,0
9681,11.0,455,350,2,102,2,19,23,0,17.05,-3.5833333333333437,0,0
9682,11.0,464,350,2,102,5,19,23,0,17.0,-4.566666666666663,0,0
9683,11.0,456,350,2,102,6,19,23,0,61.68333333333333,-4.683333333333337,0,0
9684,11.0,461,266,2,102,4,19,23,0,29.25,4.75,0,0
9685,11.0,455,282,2,102,1,19,23,0,2.0,-1.7166666666666686,0,0
9686,11.0,456,350,2,102,0,19,23,0,12.383333333333333,-1.8833333333333253,0,0
9687,11.0,451,278,2,102,3,19,23,0,5.0,-6.25,0,0
9688,11.0,457,279,2,102,2,19,23,0,43.0,-8.0,0,0
9689,11.0,460,350,2,102,5,19,23,0,5.7333333333333325,6.800000000000013,0,0
9690,6.0,431,230,117,15,4,10,11,4,32.11666666666667,3.883333333333333,3,0
9691,6.0,422,280,18,185,4,8,10,4,54.0,-5.0,3,0
9692,10.0,452,320,13,106,1,20,21,4,8.033333333333333,5.4833333333333325,3,0
9693,6.0,418,300,13,156,0,18,20,4,65.01666666666667,-55.0,3,0
9694,10.0,450,320,13,106,3,20,21,4,2.216666666666667,4.966666666666669,3,0
9695,10.0,448,320,13,106,2,20,22,4,48.0,2.0,3,0
9696,10.0,445,320,13,106,5,20,21,4,10.45,2.0499999999999967,3,0
9697,10.0,453,320,13,106,6,20,22,4,47.0,0.9500000000000028,3,0
9698,10.0,452,320,13,106,4,20,21,4,2.0,6.0,3,0
9699,10.0,454,320,13,106,1,20,22,4,19.83333333333333,11.900000000000004,3,0
9700,6.0,417,300,13,156,0,18,19,4,2.966666666666667,-9.966666666666667,3,0
9701,1.0,458,360,13,8,0,19,21,3,26.61666666666667,0.4333333333333371,0,0
9702,1.0,455,390,28,27,0,14,18,3,56.0,-3.0833333333333437,0,0
9703,1.0,453,380,13,8,0,19,20,3,-0.08333333333333333,3.450000000000003,0,0
9704,1.0,451,390,28,27,0,14,17,3,1.0,-0.44999999999998863,0,0
9705,6.0,432,230,43,27,4,20,20,4,-14.0,-5.0,3,0
9706,6.0,430,240,13,117,4,18,19,4,8.0,4.0,3,0
9707,6.0,429,230,43,27,1,20,21,4,-1.9,1.3833333333333329,3,0
9708,6.0,429,240,13,117,1,18,19,4,0.15,-5.149999999999999,3,0
9709,6.0,429,240,13,117,0,19,20,4,18.266666666666666,2.7333333333333343,3,0
9710,6.0,422,230,43,27,3,20,20,4,-16.233333333333334,0.8999999999999986,3,0
9711,6.0,421,240,13,117,3,18,19,4,-2.0,-4.583333333333336,3,1
9712,6.0,420,230,43,27,2,20,21,4,-7.2,4.68333333333333,3,0
9713,6.0,421,240,13,117,2,18,19,4,1.4833333333333334,-2.4833333333333343,3,0
9714,6.0,425,230,43,27,5,20,21,4,3.0,7.366666666666667,3,0
9715,6.0,423,240,13,117,5,18,19,4,20.0,1.0,3,0
9716,0.0,406,280,13,28,4,19,21,0,-1.5166666666666666,-10.483333333333334,1,0
9717,0.0,454,340,13,28,1,19,21,0,2.2666666666666666,-0.9666666666666686,1,0
9718,0.0,440,380,13,28,0,19,21,0,-7.966666666666668,-8.849999999999994,1,0
9719,0.0,450,275,13,28,3,19,21,0,28.53333333333333,-6.533333333333331,1,0
9720,0.0,435,360,13,28,2,19,21,0,15.6,-5.700000000000002,1,0
9721,0.0,455,320,13,28,5,19,22,0,23.0,-1.2166666666666686,1,0
9722,0.0,463,340,13,28,6,19,21,0,-2.1166666666666667,-6.2333333333333325,1,0
9723,0.0,447,380,13,28,4,19,21,0,-3.0166666666666666,-5.9833333333333325,1,0
9724,0.0,453,340,13,28,1,19,21,0,1.0,-118.0,1,0
9725,0.0,444,340,13,28,0,19,21,0,-6.116666666666666,1.9833333333333345,1,0
9726,0.0,467,360,13,28,2,19,23,0,109.15,-16.349999999999994,1,0
9727,0.0,449,380,13,28,5,19,21,0,18.35,-5.950000000000002,1,0
9728,2.0,442,310,13,62,0,19,20,3,-1.45,-7.549999999999998,0,0
9729,2.0,447,410,12,27,0,16,18,3,-3.0,-0.06666666666666288,0,0
9730,2.0,443,310,13,62,0,19,20,3,12.35,-14.216666666666667,0,0
