,actualarrivaltime,actualdeparturetime,aircrafttype,destination,destinationCity,destinationName,diverted,estimatedarrivaltime,filed_airspeed_kts,filed_airspeed_mach,filed_altitude,filed_departuretime,filed_ete,filed_time,ident,origin,originCity,originName,route
1,0,0,E170,KELP,"El Paso, TX",El Paso Intl,,1539022694,456,,350,1539012120,02:50:00,1538803561,RPA3553,KORD,"Chicago, IL",Chicago O'Hare Intl,PEKUE PIGGG QUANE CARET ROEZZ MCI J26 CME SAMMR3
2,0,1538928487,E170,KELP,"El Paso, TX",El Paso Intl,,1538939400,455,,310,1538925720,03:12:00,1538717172,RPA3553,KORD,"Chicago, IL",Chicago O'Hare Intl,OLINN OREOS OBENE OGALE OVR GCK TCC CME SAMMR3
3,1538853587,1538841682,E170,KELP,"El Paso, TX",El Paso Intl,,1538853587,455,,310,1538839320,03:28:00,1538630803,RPA3553,KORD,"Chicago, IL",Chicago O'Hare Intl,OLINN OREOS OBENE OGALE LNK J146 GLD PUB J104 ONM SLNNK WAZKO1
4,1538765990,1538755623,E170,KELP,"El Paso, TX",El Paso Intl,,1538765990,452,,350,1538752920,03:02:00,1538544389,RPA3553,KORD,"Chicago, IL",Chicago O'Hare Intl,PEKUE PIGGG QUANE CARET ROEZZ MCI J26 FRACA J26 CME SAMMR3
5,1538676739,1538666564,E75L,KELP,"El Paso, TX",El Paso Intl,,1538676739,454,,350,1538666520,02:46:00,1538667740,RPA3553,KORD,"Chicago, IL",Chicago O'Hare Intl,PEKUE PIGGG QUANE CARET ROEZZ MCI J26 FRACA J26 CME SAMMR3
6,1538589600,1538579811,E170,KELP,"El Paso, TX",El Paso Intl,,1538589600,457,,350,1538579400,02:43:00,1538371576,RPA3553,KORD,"Chicago, IL",Chicago O'Hare Intl,PEKUE PIGGG QUANE CARET ROEZZ MCI J26 CME SAMMR3
7,1538503560,1538493866,E170,KELP,"El Paso, TX",El Paso Intl,,1538503560,448,,310,1538493000,02:52:00,1538285166,RPA3553,KORD,"Chicago, IL",Chicago O'Hare Intl,PEKUE PIGGG QUANE CARET ROEZZ MCI J26 CME SAMMR3
8,1538416429,1538406646,E170,KELP,"El Paso, TX",El Paso Intl,,1538416429,445,,310,1538406600,02:43:00,1538407938,RPA3553,KORD,"Chicago, IL",Chicago O'Hare Intl,ORD222016 QUANE CARET ROEZZ MCI J26 CME SAMMR3
9,1538330100,1538320474,E170,KELP,"El Paso, TX",El Paso Intl,,1538330100,455,,350,1538320200,02:41:00,1538321763,RPA3553,KORD,"Chicago, IL",Chicago O'Hare Intl,PEKUE PIGGG QUANE CARET ROEZZ MCI J26 CME SAMMR3
10,1538244938,1538235545,E75L,KELP,"El Paso, TX",El Paso Intl,,1538244938,443,,350,1538233800,02:38:00,1538236492,RPA3553,KORD,"Chicago, IL",Chicago O'Hare Intl,PEKUE PIGGG QUANE CARET ROEZZ MCI J26 ICT J26 CME SAMMR3
11,1538157551,1538147168,E170,KELP,"El Paso, TX",El Paso Intl,,1538157551,459,,320,1538147400,02:55:00,1537939569,RPA3553,KORD,"Chicago, IL",Chicago O'Hare Intl,PEKUE PIGGG QUANE CARET ROEZZ MCI J26 CME SAMMR3
12,1538072700,1538062792,E170,KELP,"El Paso, TX",El Paso Intl,,1538072700,435,,310,1538061000,02:37:00,1537853157,RPA3553,KORD,"Chicago, IL",Chicago O'Hare Intl,PEKUE PIGGG QUANE CARET ROEZZ MCI J26 CME SAMMR3
